store_id,date,day_of_week,hour,is_peak_hour,role,required_staff
S001,2026-05-03,Sunday,8,0,Cashier,3
S001,2026-05-03,Sunday,8,0,Floor,3
S001,2026-05-03,Sunday,8,0,Stock,2
S001,2026-05-03,Sunday,8,0,Customer Service,2
S001,2026-05-03,Sunday,8,0,Supervisor,1
S001,2026-05-03,Sunday,9,0,Cashier,4
S001,2026-05-03,Sunday,9,0,Floor,3
S001,2026-05-03,Sunday,9,0,Stock,2
S001,2026-05-03,Sunday,9,0,Customer Service,2
S001,2026-05-03,Sunday,9,0,Supervisor,1
S001,2026-05-03,Sunday,10,0,Cashier,6
S001,2026-05-03,Sunday,10,0,Floor,5
S001,2026-05-03,Sunday,10,0,Stock,3
S001,2026-05-03,Sunday,10,0,Customer Service,3
S001,2026-05-03,Sunday,10,0,Supervisor,2
S001,2026-05-03,Sunday,11,0,Cashier,3
S001,2026-05-03,Sunday,11,0,Floor,3
S001,2026-05-03,Sunday,11,0,Stock,2
S001,2026-05-03,Sunday,11,0,Customer Service,2
S001,2026-05-03,Sunday,11,0,Supervisor,1
S001,2026-05-03,Sunday,12,0,Cashier,4
S001,2026-05-03,Sunday,12,0,Floor,4
S001,2026-05-03,Sunday,12,0,Stock,2
S001,2026-05-03,Sunday,12,0,Customer Service,2
S001,2026-05-03,Sunday,12,0,Supervisor,1
S001,2026-05-03,Sunday,13,0,Cashier,5
S001,2026-05-03,Sunday,13,0,Floor,4
S001,2026-05-03,Sunday,13,0,Stock,2
S001,2026-05-03,Sunday,13,0,Customer Service,3
S001,2026-05-03,Sunday,13,0,Supervisor,1
S001,2026-05-03,Sunday,14,0,Cashier,6
S001,2026-05-03,Sunday,14,0,Floor,5
S001,2026-05-03,Sunday,14,0,Stock,3
S001,2026-05-03,Sunday,14,0,Customer Service,3
S001,2026-05-03,Sunday,14,0,Supervisor,2
S001,2026-05-03,Sunday,15,0,Cashier,5
S001,2026-05-03,Sunday,15,0,Floor,4
S001,2026-05-03,Sunday,15,0,Stock,2
S001,2026-05-03,Sunday,15,0,Customer Service,3
S001,2026-05-03,Sunday,15,0,Supervisor,1
S001,2026-05-03,Sunday,16,0,Cashier,7
S001,2026-05-03,Sunday,16,0,Floor,5
S001,2026-05-03,Sunday,16,0,Stock,3
S001,2026-05-03,Sunday,16,0,Customer Service,4
S001,2026-05-03,Sunday,16,0,Supervisor,2
S001,2026-05-03,Sunday,17,1,Cashier,11
S001,2026-05-03,Sunday,17,1,Floor,10
S001,2026-05-03,Sunday,17,1,Stock,5
S001,2026-05-03,Sunday,17,1,Customer Service,6
S001,2026-05-03,Sunday,17,1,Supervisor,3
S001,2026-05-03,Sunday,18,1,Cashier,12
S001,2026-05-03,Sunday,18,1,Floor,10
S001,2026-05-03,Sunday,18,1,Stock,5
S001,2026-05-03,Sunday,18,1,Customer Service,6
S001,2026-05-03,Sunday,18,1,Supervisor,3
S001,2026-05-03,Sunday,19,1,Cashier,11
S001,2026-05-03,Sunday,19,1,Floor,9
S001,2026-05-03,Sunday,19,1,Stock,5
S001,2026-05-03,Sunday,19,1,Customer Service,6
S001,2026-05-03,Sunday,19,1,Supervisor,3
S001,2026-05-03,Sunday,20,1,Cashier,11
S001,2026-05-03,Sunday,20,1,Floor,9
S001,2026-05-03,Sunday,20,1,Stock,5
S001,2026-05-03,Sunday,20,1,Customer Service,6
S001,2026-05-03,Sunday,20,1,Supervisor,3
